SourceYear,borough,language,ProgramRows
2017-2018,Bronx,Spanish,125
2017-2018,Bronx,Arabic,1
2017-2018,Bronx,Bengali,1
2017-2018,Brooklyn,Spanish,94
2017-2018,Brooklyn,Chinese,30
2017-2018,Brooklyn,French,8
2017-2018,Brooklyn,Haitian Creole,6
2017-2018,Brooklyn,Yiddish,6
2017-2018,Brooklyn,Arabic,4
2017-2018,Brooklyn,Russian,4
2017-2018,Brooklyn,Bengali,1
2017-2018,Brooklyn,Hebrew,1
2017-2018,Brooklyn,Japanese,1
2017-2018,Brooklyn,Polish,1
2017-2018,Brooklyn,Urdu,1
2017-2018,Manhattan,Spanish,91
2017-2018,Manhattan,Chinese,15
2017-2018,Manhattan,French,2
2017-2018,Manhattan,Russian,1
2017-2018,Queens,Spanish,77
2017-2018,Queens,Chinese,21
2017-2018,Queens,Bengali,4
2017-2018,Queens,Korean,1
2017-2018,Staten Island,Spanish,12
2020-2021,Bronx,Spanish,140
2020-2021,Bronx,Bengali,1
2020-2021,Brooklyn,Spanish,99
2020-2021,Brooklyn,Chinese,29
2020-2021,Brooklyn,French,10
2020-2021,Brooklyn,Yiddish,7
2020-2021,Brooklyn,Arabic,4
2020-2021,Brooklyn,Russian,4
2020-2021,Brooklyn,Haitian Creole,3
2020-2021,Brooklyn,Italian,2
2020-2021,Brooklyn,Bengali,1
2020-2021,Brooklyn,Japanese,1
2020-2021,Brooklyn,Polish,1
2020-2021,Manhattan,Spanish,91
2020-2021,Manhattan,Chinese,12
2020-2021,Manhattan,French,2
2020-2021,Manhattan,Italian,1
2020-2021,Manhattan,Russian,1
2020-2021,Queens,Spanish,87
2020-2021,Queens,Chinese,25
2020-2021,Queens,Bengali,2
2020-2021,Queens,Korean,1
2020-2021,Queens,Polish,1
2020-2021,Staten Island,Spanish,13
2021-2022,Bronx,Spanish,133
2021-2022,Bronx,Bengali,1
2021-2022,Brooklyn,Spanish,97
2021-2022,Brooklyn,Chinese,29
2021-2022,Brooklyn,French,10
2021-2022,Brooklyn,Yiddish,6
2021-2022,Brooklyn,Arabic,4
2021-2022,Brooklyn,Russian,4
2021-2022,Brooklyn,Haitian Creole,3
2021-2022,Brooklyn,Bengali,2
2021-2022,Brooklyn,Italian,2
2021-2022,Brooklyn,Japanese,1
2021-2022,Brooklyn,Polish,1
2021-2022,Manhattan,Spanish,93
2021-2022,Manhattan,Chinese,13
2021-2022,Manhattan,French,2
2021-2022,Manhattan,Italian,1
2021-2022,Manhattan,Russian,1
2021-2022,Queens,Spanish,90
2021-2022,Queens,Chinese,26
2021-2022,Queens,Bengali,2
2021-2022,Queens,Polish,2
2021-2022,Queens,Korean,1
2021-2022,Staten Island,Spanish,14
2022-2023,Bronx,Spanish,136
2022-2023,Bronx,Bengali,1
2022-2023,Brooklyn,Spanish,105
2022-2023,Brooklyn,Chinese,29
2022-2023,Brooklyn,French,9
2022-2023,Brooklyn,Haitian Creole,4
2022-2023,Brooklyn,Russian,4
2022-2023,Brooklyn,Yiddish,4
2022-2023,Brooklyn,Arabic,3
2022-2023,Brooklyn,Bengali,2
2022-2023,Brooklyn,Italian,2
2022-2023,Brooklyn,Japanese,1
2022-2023,Brooklyn,Polish,1
2022-2023,Manhattan,Spanish,91
2022-2023,Manhattan,Chinese,12
2022-2023,Manhattan,French,2
2022-2023,Manhattan,Italian,2
2022-2023,Manhattan,Russian,1
2022-2023,Queens,Spanish,101
2022-2023,Queens,Chinese,28
2022-2023,Queens,Bengali,2
2022-2023,Queens,Polish,2
2022-2023,Queens,Korean,1
2022-2023,Staten Island,Spanish,14
2023-2024,Bronx,Spanish,131
2023-2024,Bronx,Bengali,1
2023-2024,Brooklyn,Spanish,106
2023-2024,Brooklyn,Chinese,30
2023-2024,Brooklyn,French,7
2023-2024,Brooklyn,Russian,5
2023-2024,Brooklyn,Haitian Creole,4
2023-2024,Brooklyn,Yiddish,4
2023-2024,Brooklyn,Italian,3
2023-2024,Brooklyn,Arabic,2
2023-2024,Brooklyn,Bengali,2
2023-2024,Brooklyn,Polish,1
2023-2024,Manhattan,Spanish,96
2023-2024,Manhattan,Chinese,11
2023-2024,Manhattan,French,2
2023-2024,Manhattan,Italian,2
2023-2024,Manhattan,Russian,1
2023-2024,Queens,Spanish,105
2023-2024,Queens,Chinese,27
2023-2024,Queens,Bengali,2
2023-2024,Queens,Polish,2
2023-2024,Queens,Korean,1
2023-2024,Staten Island,Spanish,14
2024-2025,Bronx,Spanish,127
2024-2025,Bronx,Bengali,1
2024-2025,Brooklyn,Spanish,109
2024-2025,Brooklyn,Chinese,34
2024-2025,Brooklyn,French,7
2024-2025,Brooklyn,Russian,5
2024-2025,Brooklyn,Yiddish,4
2024-2025,Brooklyn,Haitian Creole,3
2024-2025,Brooklyn,Italian,3
2024-2025,Brooklyn,Arabic,2
2024-2025,Brooklyn,Bengali,2
2024-2025,Brooklyn,Polish,1
2024-2025,Manhattan,Spanish,98
2024-2025,Manhattan,Chinese,10
2024-2025,Manhattan,French,2
2024-2025,Manhattan,(American) Sign Language,1
2024-2025,Manhattan,Italian,1
2024-2025,Manhattan,Russian,1
2024-2025,Queens,Spanish,111
2024-2025,Queens,Chinese,24
2024-2025,Queens,Bengali,2
2024-2025,Queens,Polish,2
2024-2025,Queens,Korean,1
2024-2025,Staten Island,Spanish,15
