year_start,language,ProgramRows
2017,Spanish,399
2017,Chinese,66
2017,French,10
2017,Bengali,6
2017,Haitian Creole,6
2017,Yiddish,6
2017,Arabic,5
2017,Russian,5
2017,Hebrew,1
2017,Japanese,1
2017,Korean,1
2017,Polish,1
2017,Urdu,1
2020,Spanish,430
2020,Chinese,66
2020,French,12
2020,Yiddish,7
2020,Russian,5
2020,Arabic,4
2020,Bengali,4
2020,Haitian Creole,3
2020,Italian,3
2020,Polish,2
2020,Japanese,1
2020,Korean,1
2021,Spanish,427
2021,Chinese,68
2021,French,12
2021,Yiddish,6
2021,Bengali,5
2021,Russian,5
2021,Arabic,4
2021,Haitian Creole,3
2021,Italian,3
2021,Polish,3
2021,Japanese,1
2021,Korean,1
2022,Spanish,447
2022,Chinese,69
2022,French,11
2022,Bengali,5
2022,Russian,5
2022,Haitian Creole,4
2022,Italian,4
2022,Yiddish,4
2022,Arabic,3
2022,Polish,3
2022,Japanese,1
2022,Korean,1
2023,Spanish,452
2023,Chinese,68
2023,French,9
2023,Russian,6
2023,Bengali,5
2023,Italian,5
2023,Haitian Creole,4
2023,Yiddish,4
2023,Polish,3
2023,Arabic,2
2023,Korean,1
2024,Spanish,460
2024,Chinese,68
2024,French,9
2024,Russian,6
2024,Bengali,5
2024,Italian,4
2024,Yiddish,4
2024,Haitian Creole,3
2024,Polish,3
2024,Arabic,2
2024,(American) Sign Language,1
2024,Korean,1
